geoid10,precinct
360850169012025,120
360850169012015,120
360850029004009,120
360850029001004,120
360850029004006,120
360610287001010,34
360850177002011,122
360850020012002,120
360850177002000,122
360850177002003,122
360850177002008,122
360850050001012,122
360850128041008,122
360850128041009,122
360850170123009,123
360850112023011,122
360850112022006,122
360850112023024,122
360850112023006,122
360850070004016,122
360850133021005,120
360610031001019,5
360850112023019,122
360850040007000,120
360850050003021,122
360850189021010,122
360850251003013,120
360850273011000,120
360850251002004,120
360850251001004,120
360850273022010,122
360850251002008,120
360850134002013,122
360850075003004,120
360850231001009,120
360850018001028,122
360850176003037,123
360850170122002,123
360850146051016,122
360850017001004,120
360850291043011,122
360850146062011,122
360850096021014,122
360850177005003,122
360850070004013,122
360850017001000,120
360850050001010,122
360850114012006,122
360850132043013,122
360850132043019,122
360850147001003,120
360850208032017,123
360850244021021,123
360850181001002,122
360850121003019,120
360850303021004,120
360850138002023,122
360850187024018,122
360850070002000,122
360850114011001,122
360850177006000,122
360850018001023,122
360850064003009,122
360850247002000,120
360610265002012,33
360850170083024,123
360850208012000,123
360850248002003,123
360050019003019,40
360050173003003,44
360050419004004,52
360050141002002,42
360050185003007,42
360050335001007,50
360050089002003,41
360050141001002,42
360050228001003,49
360470746002009,63
360470529003000,90
360470946003008,67
360470423001006,83
360470590001012,61
360470564003003,61
360470366001009,60
360470421003002,83
360470730002000,63
360610005001012,1
360610058001010,13
360610077003004,6
360610009001022,1
360810383021152,110
360810577002002,104
360810892002021,
360811529012001,111
360810265001007,110
360810585003003,104
360810745002007,112
360810229001011,108
360810515003006,104
360810357001007,115
360810142022015,102
360810560002008,105
360810664001005,105
360810671002001,104
360810663002000,104
360850273012024,122
360850187023010,122
360850177004015,122
360850020012011,120
360850020021012,122
360850189011028,120
360850018001024,
360850156013013,122
360850201002000,120
360850151001014,120
360850207001001,120
360850097002009,120
360850081002003,120
360811141001010,109
360850207004004,120
360850207004012,120
360850207004017,120
360850213003007,120
360850170123004,123
360850133021003,120
360850133021002,120
360850201001003,120
360850133021006,120
360850151001004,120
360850133023006,120
360850097002007,120
360850141001002,120
360850279001025,122
360810635002000,104
360850125001005,120
360850125003000,120
360850170121001,123
360850125003003,120
360850121002002,120
360850105003004,120
360850121002003,120
360811147002000,109
360850097003005,120
360850081001008,120
360850081002004,120
360850105002003,120
360850105001000,120
360850105002000,120
360850105002004,120
360850067002003,120
360850067002004,120
360850067002007,120
360850198003001,123
360850248002004,123
360850050003004,122
360850198003011,123
360850277022021,122
360859901000008,
360859901000010,
360850323000001,
360850074000001,
360850112012023,122
360859901000005,
360850097003004,120
360850097000001,
360850187012007,120
360850226000001,123
360850223000001,
360850146062005,122
360850251002013,120
360850303022003,120
360850177003022,122
360850177003008,122
360850096022003,122
360850096022002,122
360850114011000,122
360850114023007,122
360850146052007,122
360850146052000,122
360850132033001,122
360850132031007,122
360850132033004,122
360850047001007,120
360850177005006,122
360850029004010,120
360850029004004,120
360850029003005,120
360850050002009,122
360850177002010,122
360850177002014,122
360850177002015,122
360850177002017,122
360850128064007,122
360850128042001,122
360850132041013,122
360850128042002,122
360850112023025,122
360850112023005,122
360850112023008,122
360850112023026,122
360850029002000,120
360850029003004,120
360850040003000,120
360850040006007,120
360850008001000,120
360850040007001,120
360850273012033,122
360850251003011,120
360850189012034,120
360850132043024,122
360850170052012,123
360850170052008,123
360850247001004,120
360850231001011,120
360850138002008,122
360850138002009,122
360850208014033,123
360810635001001,104
360850047001005,120
360850198002006,123
360850112023010,122
360850040002013,120
360850040001010,120
360850303012005,120
360850146062014,122
360850303022006,120
360850067003005,120
360850067003002,120
360850067001005,120
360850067003010,120
360850170051007,123
360850156011007,122
360850156011000,122
360850156014005,122
360850156014009,122
360810299001000,114
360810309041017,115
360810317004008,114
360810641021030,102
360810907001045,109
360850228001020,123
360850112023012,122
360850070001026,122
360850112012036,122
360850070001004,122
360850303022004,120
360850303012012,120
360850156022007,123
360850176002011,123
360850156024007,123
360850156016010,122
360850156011003,122
360850156015006,122
360850156011002,122
360850156015005,122
360850156021009,123
360850156015011,122
360850156014012,122
360850156032007,122
360850156022003,123
360850156022011,123
360850132033014,122
360850146042009,122
360850132033013,122
360850156032013,122
360850156033004,122
360850151001009,120
360850201002002,120
360850151001006,120
360850201002003,120
360850201002007,120
360850151003003,120
360850151002009,120
360850040001026,120
360850040002006,120
360850040002003,120
360850040002007,120
360850040001017,120
360850050001003,122
360850050002007,122
360850181002019,122
360850181002007,122
360850181002018,122
360850122004007,122
360850122001011,122
360850134003011,122
360850134003016,122
360850050003000,122
360850036001007,120
360850036002004,120
360850036001004,120
360850020021006,122
360850064001006,122
360850020021019,122
360850008001014,120
360850008001010,120
360850008001019,120
360850008002002,120
360850008003003,120
360850020012022,120
360850189012032,120
360850189012037,120
360850189012027,120
360850189011029,120
360850189011020,120
360850156032019,122
360850170081010,123
360850156032016,122
360850208013000,123
360850319012007,120
360850319011003,120
360850040002009,120
360850226003003,123
360850208031009,123
360850128061012,122
360850244021018,123
360850251002021,120
360850040004002,120
360850291021012,122
360810695002003,112
360850007000001,
360850228001010,122
360850291022014,122
360850170104017,123
360850156031008,122
360850226002007,123
360850279001010,122
360850228001032,122
360850213005008,120
360850121002011,120
360850040006003,120
360850213005007,120
360850017002002,120
360850011002003,120
360850021001008,120
360850021003002,120
360850021002008,120
360850021001001,120
360850021002005,120
360850021001002,120
360850021001007,120
360850021002018,120
360850027001000,120
360850027001004,120
360850121001002,120
360850027001003,120
360850156030001,
360850207001024,120
360850105004002,120
360850105005004,120
360850170121012,123
360850105005005,120
360850154000001,
360850303011003,120
360850303011001,120
360850291032005,122
360850273021011,122
360850273021007,122
360850273012008,122
360850277061000,122
360850277051001,122
360850277022005,122
360850228001041,123
360850146044004,122
360850277052003,122
360850277051007,122
360850277053002,122
360850208033021,123
360850208033003,123
360850170103003,123
360850208042014,123
360850170092011,123
360850170083021,123
360850170092018,123
360850170092002,123
360850198003022,123
360850170102005,123
360850170101008,123
360850319021005,120
360850319021003,120
360810289003001,115
360850207000003,
360850291022020,122
360850231001005,120
360850303024002,120
360810125002005,114
360810716001036,113
360850226001012,123
360850248001001,123
360850248003029,
360850081000001,
360850070000001,
360850112012026,122
360850096012006,122
360850096023002,122
360850096022005,122
360850114012004,122
360850096022006,122
360850096023012,122
360850181003017,122
360850122004012,122
360850114022000,122
360850122001004,122
360850112021011,122
360850114012016,122
360850114021001,122
360850114021003,122
360850112021009,122
360850177002021,122
360850189011008,120
360850248003006,123
360850096012011,122
360850096023006,122
360850096023008,122
360850096021011,122
360850096022010,122
360850138004010,122
360850187012001,120
360850208032016,123
360850003001000,120
360850070001002,122
360850208014009,123
360850208011014,123
360850198004007,123
360850251001002,120
360850251002012,120
360850189012006,120
360850251002017,120
360850247002009,120
360850146041012,122
360850251001020,120
360850251001027,120
360850251001032,120
360850251001033,120
360850189012012,120
360850248001005,123
360850248003019,123
360850248002011,123
360850248003030,123
360850244011002,123
360850244011001,123
360850244022000,123
360850226001015,123
360850146052023,122
360850047001014,120
360850040001020,120
360850050002000,122
360850040001004,120
360850146043010,122
360850050002015,122
360850181002010,122
360850177002020,122
360850170123014,123
360850122003011,122
360850134001001,122
360850122003009,122
360850122003012,122
360850077001004,120
360850291044011,122
360850198003014,123
360850146082000,122
360850244013012,123
360850291041010,122
360850147002000,120
360850208011018,123
360850170071005,123
360850141001001,120
360850121002006,120
360850040006004,120
360850291020001,
360850207001020,120
360850198004037,123
360850156032015,122
360850156033012,122
360850050003005,122
360850176003039,123
360850251001024,120
360850291035002,122
360850170051017,123
360850132011000,122
360850170051016,123
360850248003018,123
360850040005006,120
360850244021025,123
360850303021007,120
360850223001002,120
360850067003004,120
360850081003008,120
360850007003001,120
360850007003002,120
360850081003004,120
360850009002000,120
360850075003001,120
360850075001003,120
360850075001002,120
360850075003009,120
360850077001007,120
360850011003005,120
360850009001000,120
360850009001001,120
360850247002011,120
360850011001003,120
360850033001002,120
360850033002000,120
360850021003008,120
360850021003000,120
360850021002023,120
360850021002028,120
360850021002015,120
360850021002014,120
360850021003007,120
360850021002019,120
360850027001002,120
360850006001006,120
360850323001003,120
360850114023011,122
360850114023012,122
360850156021000,123
360850122004011,122
360850122001002,122
360850122001005,122
360850114022006,122
360850112012004,122
360850208011013,123
360610287001009,34
360850112021000,122
360850096012005,122
360850128051028,122
360850132041015,122
360850138004009,122
360850138005000,122
360850177003010,122
360850187023001,122
360850151002006,120
360850151002005,120
360850147001006,120
360850208011001,123
360850208043009,123
360850189011021,120
360850291021062,122
360850291021066,122
360850291021081,122
360850208011019,123
360850291021090,122
360850291022008,122
360850208014021,123
360850208011020,123
360850189011012,120
360850277041005,122
360850273012015,122
360850291022013,122
360850146044001,122
360850146071005,122
360850208013008,123
360850198003023,123
360850156033013,122
360850151003001,120
360811467001002,111
360810007004032,108
360850198003019,123
360850121002010,120
360850198004002,123
360850067001001,120
360850075001001,120
360850198004050,123
360850170082002,123
360850173001001,122
360850096021015,122
360850208011006,123
360850170104016,123
360850138004001,122
360850156031006,122
360850197002009,120
360850197002008,120
360850146043005,122
360850151001013,120
360850208032007,123
360850151004006,120
360850189011032,120
360850187011008,120
360810014002000,102
360850151005009,120
360850187011006,120
360850197002013,120
360850189023011,122
360850273021005,122
360850189023008,122
360850138005002,122
360850279001003,122
360850279002002,122
360850138005005,122
360850138002006,122
360850132043008,122
360850138003010,122
360850138003016,122
360850132042022,122
360850132042031,122
360850132042019,122
360850198004020,123
360850132042006,122
360610009000002,
360850132042030,122
360850156033014,122
360850189022009,122
360850273021009,122
360850291034004,122
360850277022013,122
360850277023010,122
360850170083006,123
360850170083010,123
360850226003016,123
360850248003023,123
360850244013014,123
360850208014034,123
360850208014035,123
360850226004024,123
360850208014025,123
360850208041000,123
360850208041004,123
360850208041006,123
360850208041008,123
360850208042010,123
360850208041016,123
360850134003005,122
360850128062001,122
360850122002002,122
360850122002007,122
360850134002001,122
360850134001020,122
360850128062002,122
360850132041012,122
360850132012013,122
360850132041011,122
360850189023014,122
360850273012025,122
360850273022012,122
360850228001006,122
360850208011021,123
360850291021072,122
360850187021014,122
360850018001038,122
360850018001010,120
360850170101011,123
360850198002010,123
360850146062012,122
360850170072005,123
360850170072003,123
360850273012030,122
360850128061013,122
360850074001011,122
360850070004015,122
360850070003017,122
360850146063002,122
360850226004027,123
360850208041002,123
360850021003005,120
360850226002003,123
360850128064017,122
360850228001033,122
360850147001007,120
360850147002010,120
360850169011006,120
360850147002002,120
360850279002010,122
360850273012016,122
360850132041000,122
360850228001013,
360850006002004,120
360850173001014,122
360850177005011,122
360850181002014,122
360850177003007,122
360850114012009,122
360850096012018,122
360850018001011,120
360850018001031,122
360850279001011,122
360850018001022,122
360850070003009,122
360850070003003,122
360850112012016,122
360850112011022,122
360850112021004,122
360850226003014,123
360850226004009,123
360850208041022,123
360850208043011,123
360850198002019,123
360850198004013,123
360850198004030,123
360850198004006,123
360850198000001,
360850170104002,123
360850277023004,122
360850291021091,122
360850291021092,122
360850187023012,122
360850273022015,122
360850273022002,122
360850146051005,122
360850146072004,122
360850146081007,122
360850146081013,122
360850146041003,122
360850146041000,122
360850146042001,122
360850146042010,122
360850198003002,123
360850198003009,123
360850176001013,123
360850198002012,123
360850198004015,123
360850198004014,123
360850198003026,123
360850170051002,123
360850170101004,123
360850170051003,123
360850170051008,123
360850170051038,123
360850170051010,123
360850170052000,123
360850170051027,123
360850122004003,122
360850181003006,122
360850122004005,122
360850122004008,122
360850132041008,122
360850134003019,122
360850134003017,122
360850020022000,122
360810001001028,108
360850226002015,123
360850226002016,123
360850064001001,122
360850050003022,122
360850064003002,122
360850020011003,120
360850020012019,120
360850020012015,120
360850020022004,122
360850008001012,120
360850020012006,120
360850020021009,122
360850020012013,120
360850277022011,122
360850251003017,120
360850189012015,120
360850189012010,120
360850189012021,120
360850189012035,120
360850189011010,120
360850189011011,120
360810291004002,115
360850189022010,122
360850291035003,122
360850277022015,122
360850040001027,120
360850244022029,123
360850323001026,120
360850228001009,122
360850208014002,123
360850226001018,123
360850291021009,122
360850128051023,122
360850291031004,122
360850146082006,122
360810695002004,112
360810695001005,112
360850176003036,123
360850128051012,122
360850146051018,122
360850128051014,122
360850006002008,120
360850226003009,123
360850273021014,122
360850040005009,120
360850040005002,120
360850208011008,123
360850156024000,123
360850170051025,123
360850291021035,122
360850201001002,120
360850112012009,122
360850070001007,122
360850128064021,122
360850207001025,120
360850105004001,120
360850097001012,120
360850097001013,120
360850105005000,120
360850133022001,120
360850009001005,120
360850244011008,123
360810669002003,104
360810716001092,113
360850228001023,123
360850248003027,123
360850151002008,120
360850273021000,122
360850273012019,122
360850277051010,122
360850277022006,122
